CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
ID=fig|208479.6.peg.3081;Name=D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4);Ontology_term=KEGG_ENZYME:3.4.16.4	44	90	72	136	180	214	132	96	140	134	68	226	174	84	56
ID=fig|208479.6.peg.3082;Name=Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17);Ontology_term=KEGG_ENZYME:3.6.1.17	14	26	43	26	30	26	44	18	38	38	54	102	54	34	18
ID=fig|208479.6.peg.3083;Name=hypothetical protein	40	160	156	76	152	104	198	90	92	180	96	156	198	100	154
ID=fig|208479.6.peg.3084;Name=Hydroxymethylpyrimidine ABC transporter%2C ATPase component	132	172	132	130	164	175	193	91	110	154	106	222	188	272	50
ID=fig|208479.6.peg.3085;Name=Hydroxymethylpyrimidine ABC transporter%2C transmembrane component	52	118	116	190	122	161	179	97	118	100	82	171	129	245	50
ID=fig|208479.6.peg.3086;Name=Efflux ABC transporter%2C permease/ATP-binding protein BLi02169	6	48	38	34	135	36	169	32	24	52	28	51	35	60	22
ID=fig|208479.6.peg.3087;Name=Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 1	4	24	18	26	57	26	94	20	16	6	14	16	4	32	2
ID=fig|208479.6.peg.3088;Name=hypothetical protein	2	2	0	2	8	2	17	0	6	4	0	4	0	2	0
ID=fig|208479.6.peg.3089;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3090;Name=hypothetical protein	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0
ID=fig|208479.6.peg.3091;Name=hypothetical protein	4	2	6	0	2	0	9	2	4	2	4	7	4	4	6
ID=fig|208479.6.peg.3092;Name=PTS system%2C N-acetylmuramic acid-specific IIB component (EC 2.7.1.69) / PTS system%2C N-acetylmuramic acid-specific IIC component;Ontology_term=KEGG_ENZYME:2.7.1.69	0	0	4	4	6	6	11	2	8	2	8	4	18	4	4
ID=fig|208479.6.peg.3093;Name=hypothetical protein	2	2	2	0	0	0	0	2	2	2	2	4	2	4	0
ID=fig|208479.6.peg.3094;Name=N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126);Ontology_term=KEGG_ENZYME:4.2.1.126	0	4	2	2	0	0	4	0	0	2	2	8	2	0	0
ID=fig|208479.6.peg.3095;Name=Sialic acid utilization regulator%2C RpiR family	2	10	4	6	4	6	12	12	2	4	5	16	8	2	0
ID=fig|208479.6.peg.3096;Name=Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	16	26	14	18	34	12	50	12	22	56	20	30	28	26	16
ID=fig|208479.6.peg.3097;Name=hypothetical protein	0	4	2	6	10	8	25	2	6	4	4	0	2	8	0
ID=fig|208479.6.peg.3098;Name=hypothetical protein	2	4	10	6	22	6	41	6	12	2	8	2	2	12	2
ID=fig|208479.6.peg.3099;Name=Probable Co/Zn/Cd efflux system membrane fusion protein	4	4	10	8	24	8	52	14	12	8	6	2	8	12	4
ID=fig|208479.6.peg.3100;Name=hypothetical protein	0	0	0	2	4	2	8	8	0	4	2	0	2	4	0
ID=fig|208479.6.peg.3101;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3102;Name=hypothetical protein	0	1	0	0	0	0	3	0	3	0	1	3	0	0	2
ID=fig|208479.6.peg.3103;Name=Cytidylate kinase (EC 2.7.4.25);Ontology_term=KEGG_ENZYME:2.7.4.25	6	17	10	6	12	10	19	16	27	11	9	33	8	8	4
ID=fig|208479.6.peg.3104;Name=Threonine dehydrogenase and related Zn-dependent dehydrogenases	10	40	34	22	38	22	58	28	34	31	26	32	22	32	18
ID=fig|208479.6.peg.3105;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2
ID=fig|208479.6.peg.3106;Name=hypothetical protein	18	54	22	24	40	36	62	26	24	36	40	46	54	22	24
ID=fig|208479.6.repeat.19;Name=repeat region	0	0	0	2	5	2	1	0	0	0	2	2	1	0	0
ID=fig|208479.6.peg.3107;Name=Mobile element protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3108;Name=hypothetical protein	410	471	422	208	548	1456	321	154	528	782	1620	282	357	218	142
ID=fig|208479.6.peg.3109;Name=abortive infection protein%2C putative	8	32	10	14	20	18	46	32	34	26	12	18	36	12	12
ID=fig|208479.6.peg.3110;Name=hypothetical protein	12	36	20	4	26	2	4	6	8	47	28	24	33	0	14
ID=fig|208479.6.peg.3111;Name=FIG00527850: hypothetical protein	6	12	10	0	6	0	6	0	4	11	2	17	27	4	8
ID=fig|208479.6.peg.3112;Name=Transcription elongation factor GreA	2	6	3	0	2	0	6	2	2	10	8	5	8	6	1
ID=fig|208479.6.peg.3113;Name=Choline binding protein A	10	18	9	3	6	6	10	2	4	20	10	24	22	8	7
ID=fig|208479.6.peg.3114;Name=Superoxide dismutase [Cu-Zn] (EC 1.15.1.1);Ontology_term=KEGG_ENZYME:1.15.1.1	59	132	210	116	177	140	136	54	48	285	240	473	298	306	119
ID=fig|208479.6.peg.3115;Name=tRNA-dihydrouridine synthase BT3326	5	6	8	10	21	4	14	2	4	9	9	13	17	18	3
ID=fig|208479.6.peg.3116;Name=hypothetical protein	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
ID=fig|208479.6.repeat.20;Name=repeat region	1	2	2	0	5	0	4	0	1	2	9	7	5	2	7
ID=fig|208479.6.peg.3117;Name=Mobile element protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3118;Name=no significant homology.	118	667	392	189	345	231	611	197	317	866	685	924	559	432	278
ID=fig|208479.6.peg.3119;Name=no significant homology.	76	500	330	171	290	227	433	157	252	697	622	836	484	343	156
ID=fig|208479.6.peg.3120;Name=Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	6	6	0	4	4	6	4	4	1	16	2	2	6	4	4
ID=fig|208479.6.peg.3121;Name=NPQTN specific sortase B	2	4	4	6	4	4	4	2	3	0	2	10	6	3	6
ID=fig|208479.6.peg.3122;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3123;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	2	0	0	4	0	2
ID=fig|208479.6.peg.3124;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3125;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3126;Name=NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B	156	541	328	139	445	187	313	88	117	669	442	423	462	216	128
ID=fig|208479.6.peg.3127;Name=NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit A	90	288	170	63	271	99	158	34	56	338	332	315	298	141	60
ID=fig|208479.6.peg.3128;Name=hypothetical protein	30	67	42	20	103	26	76	8	44	84	132	93	80	32	16
ID=fig|208479.6.peg.3129;Name=Dihydrofolate reductase (EC 1.5.1.3);Ontology_term=KEGG_ENZYME:1.5.1.3	2	2	2	0	0	2	4	0	0	4	4	7	0	2	0
ID=fig|208479.6.peg.3130;Name=Dihydrofolate reductase (EC 1.5.1.3);Ontology_term=KEGG_ENZYME:1.5.1.3	0	2	0	0	4	0	2	0	0	0	4	8	0	0	2
ID=fig|208479.6.peg.3131;Name=Thymidylate synthase (EC 2.1.1.45);Ontology_term=KEGG_ENZYME:2.1.1.45	6	20	16	4	16	8	16	6	2	34	12	14	28	12	10
ID=fig|208479.6.peg.3132;Name=Dicarboxylate carrier protein	0	4	2	0	4	0	4	4	2	0	2	4	4	4	4
ID=fig|208479.6.peg.3133;Name=3-carboxy-cis%2Ccis-muconate cycloisomerase (EC 5.5.1.2);Ontology_term=KEGG_ENZYME:5.5.1.2	2	0	0	4	2	0	4	2	2	2	2	4	4	0	0
ID=fig|208479.6.peg.3134;Name=NADP-dependent malic enzyme (EC 1.1.1.40);Ontology_term=KEGG_ENZYME:1.1.1.40	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3135;Name=Fumarate hydratase class II (EC 4.2.1.2);Ontology_term=KEGG_ENZYME:4.2.1.2	2	2	0	0	2	2	0	0	2	0	2	0	0	0	0
ID=fig|208479.6.peg.3136;Name=hypothetical protein	14	30	8	2	12	6	8	4	0	22	22	45	24	24	2
ID=fig|208479.6.peg.3137;Name=2-dehydropantoate 2-reductase (EC 1.1.1.169);Ontology_term=KEGG_ENZYME:1.1.1.169	2	22	6	4	6	4	8	0	4	19	10	13	10	10	10
ID=fig|208479.6.peg.3138;Name=ATP-dependent nuclease%2C subunit A	28	62	30	11	28	20	45	4	16	55	18	58	62	36	26
ID=fig|208479.6.peg.3139;Name=ATP-dependent nuclease%2C subunit B	15	40	12	9	14	8	26	10	10	38	18	34	34	22	18
ID=fig|208479.6.peg.3140;Name=hypothetical protein	125	426	468	546	1013	862	622	517	530	481	254	648	676	449	262
ID=fig|208479.6.peg.3141;Name=Phosphoglycerate mutase (2%2C3-diphosphoglycerate-independent)%2C archaeal type (EC 5.4.2.12);Ontology_term=KEGG_ENZYME:5.4.2.12	2	6	2	6	8	6	8	4	6	4	4	16	12	8	3
ID=fig|208479.6.peg.3142;Name=FIG00534076: hypothetical protein	0	0	0	0	2	0	2	0	0	2	0	8	0	0	0
ID=fig|208479.6.peg.3143;Name=anion transporter	0	2	2	0	6	2	4	2	4	2	2	12	0	8	6
ID=fig|208479.6.peg.3144;Name=Transcriptional regulator%2C LysR family	2	24	8	4	12	14	21	8	14	10	4	14	14	14	12
ID=fig|208479.6.peg.3145;Name=hypothetical protein	8	30	20	6	14	30	49	10	16	16	10	14	46	26	24
ID=fig|208479.6.peg.3146;Name=hypothetical protein	35	86	35	28	58	12	37	20	35	76	25	44	87	30	27
ID=fig|208479.6.peg.3147;Name=Ribonucleotide reductase of class III (anaerobic)%2C large subunit (EC 1.17.4.2);Ontology_term=KEGG_ENZYME:1.17.4.2	189	818	491	290	622	320	737	266	391	940	465	678	925	340	333
ID=fig|208479.6.peg.3148;Name=hypothetical protein	4	0	2	0	6	1	5	0	0	2	0	0	3	1	1
ID=fig|208479.6.peg.3149;Name=Ribosome LSU-associated GTP-binding protein HflX	30	52	39	18	35	15	31	12	10	53	37	56	57	31	19
ID=fig|208479.6.peg.3150;Name=hypothetical protein	9	18	19	4	21	8	6	0	2	22	39	20	8	6	4
ID=fig|208479.6.peg.3151;Name=Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23);Ontology_term=KEGG_ENZYME:3.6.1.23	9	12	2	8	8	4	3	0	2	8	6	12	4	0	1
ID=fig|208479.6.peg.3152;Name=hypothetical protein	0	2	4	0	4	4	8	0	2	4	2	8	11	6	0
ID=fig|208479.6.peg.3153;Name=hypothetical protein	18	12	24	30	68	50	60	32	50	24	46	48	47	32	34
ID=fig|208479.6.peg.3154;Name=hypothetical protein	99	131	100	97	78	118	108	82	70	136	96	104	112	130	24
ID=fig|208479.6.peg.3155;Name=Segregation and condensation protein B	10	41	17	20	27	32	16	12	30	56	18	25	24	30	12
ID=fig|208479.6.peg.3156;Name=Segregation and condensation protein A	10	32	1	4	10	14	19	8	18	26	15	19	16	18	4
ID=fig|208479.6.peg.3157;Name=FIG00515918: hypothetical protein	18	35	30	12	42	18	20	14	17	30	30	38	32	30	14
ID=fig|208479.6.peg.3158;Name=hypothetical protein	32	18	24	6	28	12	30	12	11	46	19	24	22	22	10
ID=fig|208479.6.peg.3159;Name=Rubrerythrin	16	38	50	28	34	82	83	40	60	76	46	120	48	50	14
ID=fig|208479.6.peg.3160;Name=hypothetical protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ID=fig|208479.6.peg.3161;Name=hypothetical protein	8	31	20	12	42	26	46	16	32	54	28	49	50	32	27
ID=fig|208479.6.peg.3162;Name=hypothetical protein	8	14	8	14	16	10	9	6	8	10	9	17	10	20	8
ID=fig|208479.6.peg.3163;Name=Ribose 5-phosphate isomerase B (EC 5.3.1.6);Ontology_term=KEGG_ENZYME:5.3.1.6	0	0	2	0	0	2	3	0	7	4	5	10	2	0	0
ID=fig|208479.6.peg.3164;Name=Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	2	8	10	11	2	6	10	2	1	6	5	6	4	2	0
ID=fig|208479.6.peg.3165;Name=Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	0	6	6	1	6	2	2	0	4	2	5	8	2	8	5
ID=fig|208479.6.peg.3166;Name=Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	10	24	10	10	10	8	10	8	6	8	16	13	16	4	9
ID=fig|208479.6.peg.3167;Name=High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	10	24	8	4	10	8	12	4	11	17	16	20	10	28	2
ID=fig|208479.6.peg.3168;Name=Branched-chain amino acid ABC transporter%2C amino acid-binding protein (TC 3.A.1.4.1)	12	28	12	10	18	10	28	12	19	37	8	25	26	20	18
ID=fig|208479.6.peg.3169;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3170;Name=hypothetical protein	6	36	20	14	64	42	82	32	45	36	12	30	64	28	30
ID=fig|208479.6.peg.3171;Name=Ferric iron ABC transporter%2C iron-binding protein	114	410	730	2473	2763	6528	8332	3326	1888	351	285	671	386	1161	685
ID=fig|208479.6.peg.3172;Name=Ferric iron ABC transporter%2C ATP-binding protein	23	31	58	276	267	635	875	290	202	33	23	55	41	102	55
ID=fig|208479.6.peg.3173;Name=Ferric iron ABC transporter%2C permease protein	9	82	127	383	345	1127	1688	557	357	32	21	60	58	135	135
ID=fig|208479.6.peg.3174;Name=Two-component sensor kinase%2C associated with ferric iron transporter%2C SPy1061 homolog	6	23	48	141	113	326	333	148	88	22	25	32	43	40	40
ID=fig|208479.6.peg.3175;Name=Two-component response regulator%2C associated with ferric iron transporter%2C SPy1062 homolog	4	7	3	20	35	75	83	35	32	8	15	13	8	14	26
ID=fig|208479.6.peg.3176;Name=hypothetical protein	14	25	31	33	27	75	102	48	27	55	37	56	63	47	44
ID=fig|208479.6.peg.3177;Name=hypothetical protein	24	49	23	12	28	36	60	14	27	59	50	54	34	48	50
ID=fig|208479.6.peg.3178;Name=transcriptional regulator of the bltD operon	0	2	2	0	2	4	9	2	10	4	4	4	4	6	2
ID=fig|208479.6.peg.3179;Name=Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	10	14	16	18	22	22	22	6	6	12	19	24	35	24	44
ID=fig|208479.6.peg.3180;Name=Two-component response regulator%2C associated with ferric iron transporter%2C SPy1062 homolog	10	20	32	24	22	16	35	26	25	32	17	34	34	29	18
ID=fig|208479.6.peg.3181;Name=Two-component sensor kinase%2C associated with ferric iron transporter%2C SPy1061 homolog	32	138	70	50	38	48	117	50	39	88	48	128	79	169	36
ID=fig|208479.6.peg.3182;Name=Ferric iron ABC transporter%2C iron-binding protein	26	22	27	18	18	12	22	8	26	20	24	42	20	44	14
ID=fig|208479.6.peg.3183;Name=Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)	6	49	54	38	16	31	54	26	20	69	71	158	36	159	36
ID=fig|208479.6.peg.3184;Name=Ferric iron ABC transporter%2C permease protein	6	81	121	61	46	48	95	65	54	103	126	196	65	225	26
ID=fig|208479.6.peg.3185;Name=Ferric iron ABC transporter%2C iron-binding protein	164	502	923	537	534	609	992	798	341	1117	680	1799	482	1953	222
ID=fig|208479.6.peg.3186;Name=Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3);Ontology_term=KEGG_ENZYME:2.7.13.3	72	282	258	82	174	138	258	108	148	270	174	319	228	252	150
ID=fig|208479.6.peg.3187;Name=hypothetical protein	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0
ID=fig|208479.6.peg.3188;Name=Regulation of D-alanyl-lipoteichoic acid biosynthesis%2C DltR	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.3189;Name=Uncharacterized protein BT_0926	2	4	0	0	4	0	0	2	2	4	2	2	2	4	0
ID=fig|208479.6.peg.3190;Name=Uncharacterized protein BT_0925	0	4	0	0	0	0	2	0	2	2	0	4	2	0	2
ID=fig|208479.6.peg.3191;Name=hypothetical protein	0	2	2	0	0	0	0	0	0	2	0	0	2	2	0
ID=fig|208479.6.peg.3192;Name=Guanine deaminase (EC 3.5.4.3)%3B Hydroxydechloroatrazine ethylaminohydrolase (EC 3.5.99.3);Ontology_term=KEGG_ENZYME:3.5.4.3,KEGG_ENZYME:3.5.99.3	58	82	42	40	80	37	73	40	36	49	40	46	76	54	41
ID=fig|208479.6.peg.3193;Name=Transcriptional regulator%2C AcrR family	6	4	0	0	2	2	6	0	6	6	8	6	18	3	2
ID=fig|208479.6.peg.3194;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	2	2	0	2
ID=fig|208479.6.peg.3195;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.3196;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
ID=fig|208479.6.peg.3197;Name=rifampin ADP-ribosyl transferase	2	2	2	2	6	5	16	0	7	8	0	4	6	2	6
ID=fig|208479.6.peg.3198;Name=Acetylxylan esterase related enzyme	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ID=fig|208479.6.repeat.21;Name=repeat region	3	0	0	0	1	0	1	0	4	0	0	2	2	1	2
ID=fig|208479.6.peg.3199;Name=Mobile element protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3200;Name=TRAP dicarboxylate transporter%2C DctM subunit%2C unknown substrate 8	10	24	31	66	316	16	261	6	4	125	37	261	76	7	18
ID=fig|208479.6.peg.3201;Name=hypothetical protein	4	4	16	24	107	2	94	0	0	68	19	101	29	3	4
ID=fig|208479.6.peg.3202;Name=TRAP-type C4-dicarboxylate transport system%2C periplasmic component	22	12	33	38	271	12	207	2	2	101	38	304	58	6	10
ID=fig|208479.6.peg.3203;Name=hypothetical protein	22	42	45	13	30	23	52	24	22	31	10	36	58	34	32
ID=fig|208479.6.peg.3204;Name=Mannose-6-phosphate isomerase (EC 5.3.1.8);Ontology_term=KEGG_ENZYME:5.3.1.8	30	30	25	17	28	19	50	24	22	17	18	24	40	42	17
ID=fig|208479.6.peg.3205;Name=hypothetical protein	14	12	16	6	4	6	10	2	8	4	15	18	14	5	13
ID=fig|208479.6.peg.3206;Name=hypothetical protein	8	22	10	6	8	4	26	10	16	14	19	34	18	23	18
ID=fig|208479.6.peg.3207;Name=hypothetical protein	20	32	30	16	34	13	57	24	20	24	16	36	62	28	60
ID=fig|208479.6.peg.3208;Name=hypothetical protein	40	64	44	16	36	37	65	28	18	76	29	84	74	46	46
ID=fig|208479.6.peg.3209;Name=hypothetical protein	0	2	2	2	0	0	2	0	2	2	2	2	4	2	2
ID=fig|208479.6.peg.3210;Name=D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4);Ontology_term=KEGG_ENZYME:3.4.16.4	26	109	60	38	112	26	126	52	39	119	72	87	156	46	96
ID=fig|208479.6.peg.3211;Name=hypothetical protein	8	35	38	12	50	14	48	8	17	53	28	45	84	16	32
ID=fig|208479.6.peg.3212;Name=hypothetical protein	2	6	4	0	2	0	0	1	4	4	2	2	4	0	0
ID=fig|208479.6.peg.3213;Name=Mutator MutT protein (7%2C8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-);Ontology_term=KEGG_ENZYME:3.6.1.-	8	6	8	2	4	3	0	2	4	4	10	0	4	6	4
ID=fig|208479.6.peg.3214;Name=Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain;Ontology_term=KEGG_ENZYME:1.1.1.205	54	78	74	28	84	53	106	50	28	120	74	74	116	62	50
ID=fig|208479.6.peg.3215;Name=(S)-2-hydroxy-acid oxidase chain D	2	0	0	4	0	2	0	0	2	1	4	6	0	0	3
ID=fig|208479.6.peg.3216;Name=Electron transfer flavoprotein%2C alpha subunit	0	0	2	0	0	0	4	0	0	2	2	3	2	6	2
ID=fig|208479.6.peg.3217;Name=Electron transfer flavoprotein%2C beta subunit	0	4	0	0	0	0	0	0	0	2	0	5	0	0	2
ID=fig|208479.6.peg.3218;Name=4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7);Ontology_term=KEGG_ENZYME:4.3.3.7	2	14	16	2	10	14	6	8	2	28	36	32	18	38	20
ID=fig|208479.6.peg.3219;Name=Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	2	4	2	0	2	4	2	0	0	12	2	2	4	8	4
ID=fig|208479.6.peg.3220;Name=Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	2	2	0	2	0	2	2	4	0	2	9	12	8	6	3
ID=fig|208479.6.peg.3221;Name=Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	0	2	4	0	6	0	7	4	6	16	5	6	8	8	7
ID=fig|208479.6.peg.3222;Name=High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	2	4	4	4	0	3	5	2	0	7	0	2	10	13	4
ID=fig|208479.6.peg.3223;Name=Branched-chain amino acid ABC transporter%2C amino acid-binding protein (TC 3.A.1.4.1)	2	2	2	4	4	3	4	2	2	19	2	8	18	9	3
ID=fig|208479.6.peg.3224;Name=Glycerol dehydrogenase (EC 1.1.1.6);Ontology_term=KEGG_ENZYME:1.1.1.6	2	0	2	2	0	4	0	2	2	12	12	6	4	4	3
ID=fig|208479.6.peg.3225;Name=hypothetical protein	11	9	12	2	11	4	8	9	14	13	0	4	6	5	0
ID=fig|208479.6.peg.3226;Name=Transcriptional regulator%2C GntR family	29	31	20	48	85	30	128	28	48	61	42	46	72	41	24
ID=fig|208479.6.peg.3227;Name=hypothetical protein	4	10	18	8	10	8	28	10	28	10	14	30	33	14	16
ID=fig|208479.6.peg.3228;Name=hypothetical protein	14	38	24	24	54	54	80	34	52	44	39	123	58	42	28
ID=fig|208479.6.peg.3229;Name=hypothetical protein	2	4	8	4	8	8	6	0	8	2	15	17	8	6	4
ID=fig|208479.6.peg.3230;Name=Ferrous iron transport protein A	10	36	27	48	60	35	31	10	29	13	20	29	76	33	37
ID=fig|208479.6.peg.3231;Name=Ferrous iron transport protein B	64	109	103	163	220	106	137	54	96	114	87	65	203	107	75
ID=fig|208479.6.peg.3232;Name=Choline binding protein A	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.3233;Name=hypothetical protein	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0
ID=fig|208479.6.peg.3234;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3235;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.3236;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3237;Name=hypothetical protein	0	0	0	2	0	0	2	0	0	2	2	0	2	0	2
ID=fig|208479.6.peg.3238;Name=hypothetical protein	0	0	0	0	0	2	4	0	0	0	0	2	0	4	2
ID=fig|208479.6.peg.3239;Name=hypothetical protein	14	24	30	40	76	70	144	60	140	46	48	104	76	48	28
ID=fig|208479.6.peg.3240;Name=hypothetical protein	0	2	0	2	6	3	2	0	0	0	4	2	4	0	0
ID=fig|208479.6.peg.3241;Name=hypothetical protein	0	2	0	0	0	1	0	0	0	0	0	4	0	0	0
ID=fig|208479.6.peg.3242;Name=Phage minor tail protein	2	2	0	2	0	0	0	0	2	0	0	2	2	2	4
ID=fig|208479.6.peg.3243;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3244;Name=hypothetical protein	0	0	0	0	0	0	0	2	0	2	0	0	2	2	0
ID=fig|208479.6.peg.3245;Name=hypothetical protein	0	0	0	0	0	2	0	4	2	2	0	2	0	0	0
ID=fig|208479.6.peg.3246;Name=FIG00617265: hypothetical protein	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0
ID=fig|208479.6.peg.3247;Name=hypothetical protein	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
ID=fig|208479.6.peg.3248;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	4	0	2	0
ID=fig|208479.6.peg.3249;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.3250;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.3251;Name=FIG00617341: hypothetical protein	0	0	0	0	0	0	0	4	0	2	4	0	2	4	2
ID=fig|208479.6.peg.3252;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.3253;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
ID=fig|208479.6.peg.3254;Name=hypothetical protein	6	0	4	0	0	2	2	0	0	2	0	0	0	4	4
ID=fig|208479.6.peg.3255;Name=Phage minor capsid protein	0	4	2	0	0	0	0	2	0	2	0	1	2	2	4
ID=fig|208479.6.peg.3256;Name=hypothetical protein	2	2	0	0	0	2	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.3257;Name=hypothetical protein	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3258;Name=hypothetical protein	10	0	0	0	2	0	0	0	0	2	2	6	10	2	0
ID=fig|208479.6.peg.3259;Name=hypothetical protein	0	6	0	4	8	2	4	0	0	2	0	2	0	2	0
ID=fig|208479.6.peg.3260;Name=hypothetical protein	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0
ID=fig|208479.6.peg.3261;Name=hypothetical protein	0	2	4	0	0	0	0	0	0	0	2	2	0	0	0
ID=fig|208479.6.peg.3262;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.repeat.22;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.3263;Name=hypothetical protein	0	0	0	0	10	2	8	0	2	4	0	0	0	0	0
ID=fig|208479.6.peg.3264;Name=hypothetical protein	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2
ID=fig|208479.6.peg.3265;Name=hypothetical protein	0	0	0	2	0	0	2	2	2	0	0	0	0	0	0
ID=fig|208479.6.peg.3266;Name=Bacteriophage resolvase	2	4	2	2	12	2	2	4	2	0	2	4	2	1	0
ID=fig|208479.6.peg.3267;Name=hypothetical protein	8	2	6	4	6	0	2	2	4	2	2	2	2	1	2
ID=fig|208479.6.peg.3268;Name=Bacteriophage replicative DNA helicase%2C repA	4	12	8	6	38	10	12	8	14	10	8	16	6	18	2
ID=fig|208479.6.peg.3269;Name=DNA helicase (EC 3.6.4.12)%2C phage-associated%3B Type III restriction enzme;Ontology_term=KEGG_ENZYME:3.6.4.12	13	12	24	10	14	8	10	16	10	12	8	12	0	28	0
ID=fig|208479.6.peg.3270;Name=hypothetical protein	3	0	2	0	2	0	0	8	0	4	0	4	2	0	2
