Superclass	Class	Subclass	Subsystem.Name	Role.ID	Role.Name	Active	Gene	Product	Organism
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Outer_membrane_TonB-dependent_transporter,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusC_family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	active	fig|671267.8.peg.2426	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2427	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2428	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2429	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2430	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2431	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2432	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2433	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2434	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2435	NA	BS
	Carbohydrates	Amino sugars and nucleotide sugars 	N-acetylneuraminate utilization	Glucosamine-6-phosphate_deaminase_(EC_3.5.99.6)	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	likely	fig|671267.8.peg.2436	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) / domain similar to N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2437	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2438	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2439	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2440	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2441	NA	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Outer_membrane_TonB-dependent_transporter,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusC_family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	active	fig|671267.8.peg.2442	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Cell_surface_glycan-binding_lipoprotein,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusD_family	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	active	fig|671267.8.peg.2443	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2444	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2445	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2446	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2447	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2448	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2449	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2450	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2451	NA	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Cell_surface_glycan-binding_lipoprotein,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusD_family	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	active	fig|671267.8.peg.2452	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Outer_membrane_TonB-dependent_transporter,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusC_family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	active	fig|671267.8.peg.2453	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2454	NA	BS
METABOLISM	Carbohydrates	Di- and oligosaccharides	Lactose utilization	beta-galactosidase_(EC_3.2.1.23)	beta-galactosidase (EC 3.2.1.23)	active	fig|671267.8.peg.2455	beta-galactosidase (EC 3.2.1.23)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2456	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2457	NA	BS
METABOLISM	Carbohydrates	Di- and oligosaccharides	Lactose utilization	beta-galactosidase_(EC_3.2.1.23)	beta-galactosidase (EC 3.2.1.23)	active	fig|671267.8.peg.2458	beta-galactosidase (EC 3.2.1.23)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2459	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2460	NA	BS
METABOLISM	Carbohydrates	Di- and oligosaccharides	Galactose utilization	alpha-galactosidase_(EC_3.2.1.22)	alpha-galactosidase (EC 3.2.1.22)	active	fig|671267.8.peg.2461	alpha-galactosidase (EC 3.2.1.22)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2462	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2463	NA	BS
METABOLISM	Carbohydrates	Di- and oligosaccharides	Lactose utilization	beta-galactosidase_(EC_3.2.1.23)	beta-galactosidase (EC 3.2.1.23)	active	fig|671267.8.peg.2464	beta-galactosidase (EC 3.2.1.23)	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Cell_surface_glycan-binding_lipoprotein,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusD_family	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	active	fig|671267.8.peg.2465	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Outer_membrane_TonB-dependent_transporter,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusC_family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	active	fig|671267.8.peg.2466	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2467	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2468	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2469	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2470	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2471	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2472	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2473	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2474	NA	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Outer_membrane_TonB-dependent_transporter,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusC_family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	active	fig|671267.8.peg.2475	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	BS
MEMBRANE TRANSPORT	Membrane Transport	Utilization systems for glycans and polysaccharides (PULs, SUS)	Utilization systems for glycans and polysaccharides (PULs, SUS)	Cell_surface_glycan-binding_lipoprotein,_utilization_system_for_glycans_and_polysaccharides_(PUL),_SusD_family	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	active	fig|671267.8.peg.2476	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2477	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2478	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2479	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2480	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2481	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2482	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pyruvate Alanine Serine Interconversions	Alanine_racemase_(EC_5.1.1.1)	Alanine racemase (EC 5.1.1.1)	active	fig|671267.8.peg.2483	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) / Alanine racemase (EC 5.1.1.1)	BS
METABOLISM	Amino Acids and Derivatives	Amino acid racemase	Amino acid racemase	Alanine_racemase_(EC_5.1.1.1)	Alanine racemase (EC 5.1.1.1)	active	fig|671267.8.peg.2483	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) / Alanine racemase (EC 5.1.1.1)	BS
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Cell division cluster	Cell division cluster	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase_(EC_6.3.2.10)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)	likely	fig|671267.8.peg.2483	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) / Alanine racemase (EC 5.1.1.1)	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in cell wall biosynthesis	Alanine_racemase_(EC_5.1.1.1)	Alanine racemase (EC 5.1.1.1)	active	fig|671267.8.peg.2483	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) / Alanine racemase (EC 5.1.1.1)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2484	NA	BS
METABOLISM	Cofactors, Vitamins, Prosthetic Groups	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	1-deoxy-D-xylulose_5-phosphate_synthase_(EC_2.2.1.7)	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	likely	fig|671267.8.peg.2485	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	BS
METABOLISM	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Nonmevalonate Branch of Isoprenoid Biosynthesis	1-deoxy-D-xylulose_5-phosphate_synthase_(EC_2.2.1.7)	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	active	fig|671267.8.peg.2485	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Stress Response: Osmotic stress	Hyperosmotic potassium uptake	Trk_potassium_uptake_system_protein_TrkA	Trk potassium uptake system protein TrkA	active	fig|671267.8.peg.2486	Trk potassium uptake system protein TrkA	BS
MEMBRANE TRANSPORT	Membrane Transport	Cation transporters	Trk and Ktr potassium uptake systems	Trk_potassium_uptake_system_protein_TrkA	Trk potassium uptake system protein TrkA	active	fig|671267.8.peg.2486	Trk potassium uptake system protein TrkA	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Stress Response: Osmotic stress	Hyperosmotic potassium uptake	Trk_potassium_uptake_system_protein_TrkH	Trk potassium uptake system protein TrkH	active	fig|671267.8.peg.2487	Trk potassium uptake system protein TrkH	BS
MEMBRANE TRANSPORT	Membrane Transport	Cation transporters	Trk and Ktr potassium uptake systems	Trk_potassium_uptake_system_protein_TrkH	Trk potassium uptake system protein TrkH	active	fig|671267.8.peg.2487	Trk potassium uptake system protein TrkH	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2488	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2489	NA	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH_ubiquinone_oxidoreductase_chain_A_(EC_1.6.5.3)	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	active	fig|671267.8.peg.2490	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_B_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	active	fig|671267.8.peg.2491	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_C_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	active	fig|671267.8.peg.2492	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_D_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	active	fig|671267.8.peg.2492	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_H_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	active	fig|671267.8.peg.2493	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_I_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	active	fig|671267.8.peg.2494	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_J_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	active	fig|671267.8.peg.2495	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_K_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	active	fig|671267.8.peg.2496	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_L_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	active	fig|671267.8.peg.2497	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_M_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	active	fig|671267.8.peg.2498	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	BS
ENERGY	Respiration	Electron donating reactions	Respiratory Complex I	NADH-ubiquinone_oxidoreductase_chain_N_(EC_1.6.5.3)	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	active	fig|671267.8.peg.2499	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2500	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2501	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2502	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2503	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2504	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2505	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2506	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2507	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2508	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2509	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2510	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2511	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2512	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.97	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2513	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2514	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2515	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.98	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2516	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2517	NA	BS
METABOLISM	Carbohydrates	Monosaccharides	GDP-fucose to mannose-1P module	Mannose-6-phosphate_isomerase_(EC_5.3.1.8)	Mannose-6-phosphate isomerase (EC 5.3.1.8)	active	fig|671267.8.peg.2518	Mannose-6-phosphate isomerase (EC 5.3.1.8)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2519	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2520	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2521	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.99	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.rna.44	NA	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in protein synthesis	LSU_rRNA	LSU rRNA	active	fig|671267.8.rna.45	LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.rna.46	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.rna.47	NA	BS
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in protein synthesis	SSU_rRNA	SSU rRNA	active	fig|671267.8.rna.48	SSU rRNA ## 16S rRNA, small subunit ribosomal RNA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2522	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.100	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2523	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.repeat.101	NA	BS
METABOLISM	Nucleosides and Nucleotides	Purines	DeNovo Purine Biosynthesis	Phosphoribosylaminoimidazolecarboxamide_formyltransferase_(EC_2.1.2.3)	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	active	fig|671267.8.peg.2524	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2525	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2526	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2527	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2528	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2529	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2530	NA	BS
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Cell division cluster	Cell division cluster	FIG00003370:_Multicopper_polyphenol_oxidase	FIG00003370: Multicopper polyphenol oxidase	likely	fig|671267.8.peg.2531	FIG00003370: Multicopper polyphenol oxidase	BS
PROTEIN PROCESSING	Protein Synthesis	Universal GTPases	Universal GTPases	GTP-binding_protein_Obg	GTP-binding protein Obg	active	fig|671267.8.peg.2532	GTP-binding protein Obg	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2533	NA	BS
METABOLISM	Cofactors, Vitamins, Prosthetic Groups	Folate and pterines	Folate biosynthesis cluster	Hypoxanthine-guanine_phosphoribosyltransferase_(EC_2.4.2.8)	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	likely	fig|671267.8.peg.2534	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	BS
METABOLISM	Metabolite damage and its repair or mitigation	Damaged nicotinamide nucleotide NAD(P)HX repair	Damaged nicotinamide nucleotide NAD(P)HX repair	NAD(P)H-hydrate_epimerase_(EC_5.1.99.6)	NAD(P)H-hydrate epimerase (EC 5.1.99.6)	active	fig|671267.8.peg.2535	NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)	BS
METABOLISM	Metabolite damage and its repair or mitigation	Damaged nicotinamide nucleotide NAD(P)HX repair	Damaged nicotinamide nucleotide NAD(P)HX repair	ADP-dependent_(S)-NAD(P)H-hydrate_dehydratase_(EC_4.2.1.136)	ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)	active	fig|671267.8.peg.2535	NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2536	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2537	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2538	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2539	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2540	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2541	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2542	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2543	NA	BS
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Glycolysis and Gluconeogenesis	Fructose-bisphosphate_aldolase_class_II_(EC_4.1.2.13)	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	active	fig|671267.8.peg.2544	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	BS
PROTEIN PROCESSING	Protein Synthesis	Ribosome biogenesis	Ribosome LSU, bacterial	LSU_ribosomal_protein_L31p	LSU ribosomal protein L31p	active	fig|671267.8.peg.2545	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent	BS
PROTEIN PROCESSING	Protein Synthesis	Ribosome biogenesis	Ribosomal proteins, zinc requirement	LSU_ribosomal_protein_L31p,_zinc-independent	LSU ribosomal protein L31p, zinc-independent	active	fig|671267.8.peg.2545	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent	BS
PROTEIN PROCESSING	Protein Synthesis	Ribosome biogenesis	Ribosomal proteins, zinc requirement	LSU_ribosomal_protein_L31p	LSU ribosomal protein L31p	active	fig|671267.8.peg.2545	LSU ribosomal protein L31p @ LSU ribosomal protein L31p, zinc-independent	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2546	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2547	NA	BS
METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid interconversions with aryl acids	Amino_acid-binding_ACT	Amino acid-binding ACT	active	fig|671267.8.peg.2548	Amino acid-binding ACT	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2549	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2550	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2551	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2552	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2553	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2554	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2555	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2556	NA	BS
METABOLISM	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine DAP biosynthetic pathway	Meso-diaminopimelate_D-dehydrogenase_(EC_1.4.1.16)	Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	active	fig|671267.8.peg.2557	Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	BS
METABOLISM	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Diaminopimelate Synthesis 	Meso-diaminopimelate_D-dehydrogenase_(EC_1.4.1.16)	Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	active	fig|671267.8.peg.2557	Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	BS
DNA PROCESSING	DNA Processing	DNA recombination	RuvABC plus a hypothetical	Holliday_junction_ATP-dependent_DNA_helicase_RuvA_(EC_3.6.4.12)	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	active	fig|671267.8.peg.2558	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2559	NA	BS
RNA PROCESSING	RNA Processing	RNA processing and modification	tRNA nucleotidyltransferase	CCA_tRNA_nucleotidyltransferase_(EC_2.7.7.72)	CCA tRNA nucleotidyltransferase (EC 2.7.7.72)	active	fig|671267.8.peg.2560	CCA tRNA nucleotidyltransferase (EC 2.7.7.72)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2561	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2562	NA	BS
METABOLISM	Nucleosides and Nucleotides	Ribonucleotide reduction	Ribonucleotide reduction	Ribonucleotide_reductase_of_class_III_(anaerobic),_large_subunit_(EC_1.17.4.2)	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	active	fig|671267.8.peg.2563	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	BS
METABOLISM	Nucleosides and Nucleotides	Ribonucleotide reduction	Ribonucleotide reduction	Ribonucleotide_reductase_of_class_III_(anaerobic),_activating_protein_(EC_1.97.1.4)	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	active	fig|671267.8.peg.2564	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2565	NA	BS
NA	NA	NA	NA	NA	NA	NA	fig|671267.8.peg.2566	NA	BS
